Cell_Lat,Cell_Lon,Mes,media_focos_mes_hist
-18.8,-51.8,7,0.1818181818181818
-18.8,-51.8,8,0.3636363636363636
-18.8,-51.8,9,0.3636363636363636
-18.8,-51.8,10,0.6363636363636364
-18.8,-51.8,11,0.4545454545454545
-18.8,-51.8,12,0.5454545454545454
-18.8,-51.7,1,0.6363636363636364
-18.8,-51.7,4,0.1818181818181818
-18.8,-51.7,5,0.3636363636363636
-18.8,-51.7,6,0.3636363636363636
-18.8,-51.7,8,0.2727272727272727
-18.8,-51.7,9,0.4545454545454545
-18.8,-51.7,10,0.4545454545454545
-18.8,-51.7,11,0.4545454545454545
-18.8,-51.7,12,0.6363636363636364
-18.8,-51.6,1,0.7272727272727273
-18.8,-51.6,2,0.1818181818181818
-18.8,-51.6,3,0.2727272727272727
-18.8,-51.6,4,0.1818181818181818
-18.8,-51.6,5,0.8181818181818182
-18.8,-51.6,6,0.1818181818181818
-18.8,-51.6,7,0.5454545454545454
-18.8,-51.6,8,0.3636363636363636
-18.8,-51.6,9,0.7272727272727273
-18.8,-51.6,10,0.9090909090909092
-18.8,-51.6,11,0.8181818181818182
-18.8,-51.6,12,1.3636363636363635
-18.8,-51.5,1,0.6363636363636364
-18.8,-51.5,2,0.8181818181818182
-18.8,-51.5,3,0.0909090909090909
-18.8,-51.5,4,0.1818181818181818
-18.8,-51.5,5,0.0909090909090909
-18.8,-51.5,6,0.5454545454545454
-18.8,-51.5,7,0.6363636363636364
-18.8,-51.5,8,0.0909090909090909
-18.8,-51.5,9,0.4545454545454545
-18.8,-51.5,10,0.9090909090909092
-18.8,-51.5,11,1.818181818181818
-18.8,-51.5,12,0.9090909090909092
-18.8,-51.4,2,0.4545454545454545
-18.8,-51.4,4,0.0909090909090909
-18.8,-51.4,5,0.0909090909090909
-18.8,-51.4,6,0.1818181818181818
-18.8,-51.4,7,0.1818181818181818
-18.8,-51.4,8,0.1818181818181818
-18.8,-51.4,9,0.2727272727272727
-18.8,-51.4,10,0.6363636363636364
-18.8,-51.4,11,0.7272727272727273
-18.8,-51.4,12,0.5454545454545454
-18.8,-51.3,1,1.2727272727272727
-18.8,-51.3,2,0.6363636363636364
-18.8,-51.3,3,0.2727272727272727
-18.8,-51.3,4,0.0909090909090909
-18.8,-51.3,5,0.2727272727272727
-18.8,-51.3,6,0.5454545454545454
-18.8,-51.3,7,0.6363636363636364
-18.8,-51.3,8,0.4545454545454545
-18.8,-51.3,9,0.9090909090909092
-18.8,-51.3,10,0.6363636363636364
-18.8,-51.3,11,0.1818181818181818
-18.8,-51.3,12,0.7272727272727273
-18.8,-51.2,1,0.6363636363636364
-18.8,-51.2,2,0.7272727272727273
-18.8,-51.2,3,0.6363636363636364
-18.8,-51.2,4,0.0909090909090909
-18.8,-51.2,6,0.0909090909090909
-18.8,-51.2,7,0.1818181818181818
-18.8,-51.2,8,0.0909090909090909
-18.8,-51.2,9,0.0909090909090909
-18.8,-51.2,10,0.6363636363636364
-18.8,-51.2,11,0.6363636363636364
-18.8,-51.2,12,0.9090909090909092
-18.8,-51.1,1,0.5454545454545454
-18.8,-51.1,2,0.4545454545454545
-18.8,-51.1,3,0.5454545454545454
-18.8,-51.1,4,0.2727272727272727
-18.8,-51.1,5,0.0909090909090909
-18.8,-51.1,6,0.0909090909090909
-18.8,-51.1,7,0.4545454545454545
-18.8,-51.1,8,0.5454545454545454
-18.8,-51.1,9,0.3636363636363636
-18.8,-51.1,10,0.4545454545454545
-18.8,-51.1,11,0.4545454545454545
-18.8,-51.1,12,0.4545454545454545
-18.8,-51.0,1,0.0909090909090909
-18.8,-51.0,3,0.1818181818181818
-18.8,-51.0,6,0.0909090909090909
-18.8,-51.0,7,0.1818181818181818
-18.8,-51.0,8,0.4545454545454545
